,n,scheduler,st_1,st_2,st_3,wt_1,wt_2,wt_3,tat_1,tat_2,tat_3
165,82001,fcfs,0.8,9922.6,11302.2,0.8,9922.6,11302.2,9920.0,11301.2,12957.0
166,83001,rr,0.9,4.9,6.9,28638.3,849.6,885.6,110365.1,1101.7,1163.8
167,83001,fcfs,0.9,11282.4,12572.6,0.9,11282.4,12572.6,11279.6,12571.8,14169.5
168,84001,rr,1.4,6.2,8.3,42179.1,1362.0,1529.8,141505.1,1808.4,1977.3
169,84001,fcfs,0.8,7542.5,8655.0,0.8,7542.5,8655.0,7539.5,8654.2,10438.3
170,85001,rr,0.8,4.1,6.3,14474.7,1002.3,1028.7,55068.8,1378.8,1368.6
171,85001,fcfs,0.9,9850.5,11281.9,0.9,9850.5,11281.9,9847.6,11280.9,13218.9
172,86001,rr,0.8,4.0,6.3,37750.6,828.0,683.7,132476.1,1125.9,964.7
173,86001,fcfs,1.0,13362.7,14706.8,1.0,13362.7,14706.8,13353.5,14704.5,16073.1
174,87001,rr,1.3,5.9,9.4,10908.5,747.2,981.1,42070.6,1269.0,1409.6
175,87001,fcfs,1.0,10271.7,11752.6,1.0,10271.7,11752.6,10266.6,11750.6,13049.2
176,88001,rr,13.4,18.2,20.4,28815.4,1061.2,1024.4,98248.6,1364.9,1337.3
177,88001,fcfs,1.4,13128.7,14853.3,1.4,13128.7,14853.3,13119.0,14851.0,16224.0
178,89001,rr,1.5,5.9,8.0,36868.8,1943.2,2120.0,122072.2,2679.9,2677.4
179,89001,fcfs,0.8,8664.1,9874.0,0.8,8664.1,9874.0,8656.6,9872.1,11370.2
180,90001,rr,0.8,4.3,6.6,9765.1,910.0,954.1,38337.9,1153.5,1229.6
181,90001,fcfs,1.0,16919.6,18248.8,1.0,16919.6,18248.8,16914.8,18247.7,20122.0
182,91001,rr,0.8,4.3,6.2,52363.2,1032.0,1032.4,184358.2,1316.6,1314.1
183,91001,fcfs,0.7,8867.8,9998.8,0.7,8867.8,9998.8,8864.6,9997.6,11850.1
184,92001,rr,1.0,5.6,7.6,32924.1,963.0,838.3,121308.0,1203.0,1186.2
185,92001,fcfs,0.8,12491.0,13837.7,0.8,12491.0,13837.7,12488.3,13836.8,15519.5
186,93001,rr,1.4,6.1,8.4,16166.7,1153.3,1302.1,60592.7,1657.2,1661.0
187,93001,fcfs,0.8,7048.7,8160.5,0.8,7048.7,8160.5,7045.6,8159.6,9717.2
188,94001,rr,1.4,5.6,9.3,22911.4,1871.0,1849.5,86143.1,2404.4,2377.1
189,94001,fcfs,0.7,13505.7,14969.9,0.7,13505.7,14969.9,13502.5,14968.9,16872.5
190,95001,rr,1.4,5.4,9.2,30293.0,849.9,757.2,115002.4,1108.8,1090.8
191,95001,fcfs,1.0,15414.5,16809.6,1.0,15414.5,16809.6,15406.8,16808.1,18161.8
192,96001,rr,0.9,4.1,6.4,21048.6,904.2,890.6,80122.2,1161.7,1166.3
193,96001,fcfs,0.8,13698.7,15065.3,0.8,13698.7,15065.3,13689.2,15063.5,16469.0
194,97001,rr,0.9,4.7,7.1,41190.7,1180.7,1110.1,154404.7,1540.9,1531.9
195,97001,fcfs,0.8,13811.9,15229.0,0.8,13811.9,15229.0,13809.1,15228.2,17105.2
196,98001,rr,0.9,4.5,6.9,35635.5,992.3,1045.7,131492.9,1356.2,1346.6
197,98001,fcfs,0.8,15688.4,17464.5,0.8,15688.4,17464.5,15685.4,17463.6,18940.1
198,99001,rr,0.8,4.2,6.0,27034.1,911.6,949.0,99132.7,1176.2,1243.0
199,99001,fcfs,0.9,7626.5,9336.8,0.9,7626.5,9336.8,7623.5,9335.9,10900.2
200,100001,rr,0.9,4.4,6.2,43726.0,977.9,981.7,153013.8,1266.0,1274.2
201,100001,fcfs,1.3,11902.8,13808.3,1.3,11902.8,13808.3,11897.2,13807.2,15278.1
202,101001,rr,1.3,6.0,8.2,20030.0,789.2,1175.5,74314.4,1036.7,1786.5
203,101001,fcfs,0.7,10536.3,11805.3,0.7,10536.3,11805.3,10532.6,11804.5,13290.8
204,102001,rr,1.2,5.1,7.3,32971.2,1098.3,1409.9,128407.4,1560.2,1834.4
205,102001,fcfs,0.9,13194.2,14727.0,0.9,13194.2,14727.0,13191.4,14726.2,16415.8
206,103001,rr,0.8,4.4,6.6,17560.2,645.6,849.6,65871.5,949.7,1103.7
207,103001,fcfs,0.8,7350.2,8825.0,0.8,7350.2,8825.0,7345.5,8824.1,10593.6
208,104001,rr,1.3,6.1,8.7,41005.1,2088.2,2553.0,140524.2,2671.9,3380.1
209,104001,fcfs,0.8,13293.2,14620.6,0.8,13293.2,14620.6,13290.4,14619.4,16314.9
210,105001,rr,1.2,5.9,8.4,31136.8,1097.5,969.3,108630.2,1390.3,1259.4
211,105001,fcfs,0.8,14040.9,16048.4,0.8,14040.9,16048.4,14031.1,16046.8,17258.0
212,106001,rr,1.3,6.0,8.1,36184.2,1037.2,913.1,117355.0,1315.7,1349.1
213,106001,fcfs,0.9,10439.2,11774.2,0.9,10439.2,11774.2,10436.5,11773.3,13774.6
214,107001,rr,0.8,4.4,6.6,20918.9,1190.1,1107.8,78743.4,1490.2,1354.2
215,107001,fcfs,0.9,14280.8,15609.8,0.9,14280.8,15609.8,14275.4,15608.3,16753.8
216,108001,rr,1.7,6.3,8.6,21368.7,908.3,1080.8,85163.9,1270.9,1460.7
217,108001,fcfs,0.9,16156.7,17545.2,0.9,16156.7,17545.2,16149.5,17543.3,18930.6
218,109001,rr,0.8,4.5,6.7,36040.2,762.6,823.8,135723.3,1097.4,1091.3
219,109001,fcfs,0.8,12313.1,13857.6,0.8,12313.1,13857.6,12306.8,13855.7,15361.7
220,110001,rr,1.1,6.1,8.2,34106.3,1030.8,1013.9,126721.6,1423.1,1434.1
221,110001,fcfs,0.8,15517.3,16613.3,0.8,15517.3,16613.3,15500.1,16612.3,18144.3
222,111001,rr,0.8,4.1,6.3,41015.1,3069.8,2726.7,150816.7,4044.2,3527.3
223,111001,fcfs,0.8,16105.9,17309.0,0.8,16105.9,17309.0,16103.1,17308.2,18919.6
224,112001,rr,2.5,67.5,69.9,16829.0,922.2,828.6,62293.2,1198.8,1081.8
225,112001,fcfs,0.8,13808.3,15180.7,0.8,13808.3,15180.7,13805.6,15179.8,16645.4
226,113001,rr,1.3,5.7,7.9,31230.0,1034.8,1249.8,117721.9,1479.2,1673.3
227,113001,fcfs,0.8,11875.3,13394.7,0.8,11875.3,13394.7,11867.6,13391.2,15451.8
228,114001,rr,1.1,5.3,7.5,46074.9,1384.0,1187.2,159740.6,1847.4,1542.4
229,114001,fcfs,1.0,9291.0,11052.3,1.0,9291.0,11052.3,9287.4,11051.1,12444.0
230,115001,rr,1.0,4.5,6.8,27888.3,796.8,851.3,96475.3,1105.9,1111.5
231,115001,fcfs,1.0,13319.9,14514.0,1.0,13319.9,14514.0,13316.3,14513.1,15906.3
232,116001,rr,0.9,4.1,6.3,22723.6,834.3,860.2,85731.9,1083.4,1059.2
233,116001,fcfs,0.8,10700.7,12163.7,0.8,10700.7,12163.7,10697.5,12162.9,14239.5
234,117001,rr,2.1,6.1,8.2,31297.2,876.1,962.1,116982.9,1131.1,1377.5
235,117001,fcfs,0.8,12764.1,14683.7,0.8,12764.1,14683.7,12758.6,14681.9,16419.4
236,118001,rr,1.3,6.5,8.8,30375.7,1296.0,1080.0,118003.5,1668.2,1624.6
237,118001,fcfs,0.8,15472.6,16558.0,0.8,15472.6,16558.0,15469.7,16557.2,17734.9
238,119001,rr,0.9,4.3,6.5,34511.7,949.1,1021.7,117707.5,1226.3,1319.3
239,119001,fcfs,1.0,9764.4,10810.2,1.0,9764.4,10810.2,9761.0,10809.2,12247.0
240,120001,rr,1.0,5.3,7.4,66642.1,1024.1,1022.3,224879.6,1344.5,1335.2
241,120001,fcfs,0.8,17185.7,18599.8,0.8,17185.7,18599.8,17179.4,18597.8,19840.6
242,121001,rr,0.8,3.9,6.2,33380.4,979.6,947.0,124605.2,1301.0,1291.0
243,121001,fcfs,1.3,13808.8,15405.3,1.3,13808.8,15405.3,13802.3,15404.4,17240.5
244,122001,rr,1.0,4.6,6.8,32806.5,1022.0,1100.9,112974.4,1412.2,1414.5
245,122001,fcfs,0.8,14702.6,15993.0,0.8,14702.6,15993.0,14698.6,15991.8,17735.1
246,123001,rr,1.1,5.4,7.6,46076.6,1089.3,1279.5,146050.0,1421.5,1665.4
247,123001,fcfs,0.7,14956.4,16472.5,0.7,14956.4,16472.5,14953.0,16470.8,18489.1
248,124001,rr,0.8,4.2,6.5,36890.4,939.2,908.2,130116.4,1220.1,1234.9
249,124001,fcfs,1.1,16197.0,17647.5,1.1,16197.0,17647.5,16189.0,17645.8,19430.5
250,125001,rr,0.8,4.3,6.6,44492.9,795.1,919.5,165130.5,1251.3,1365.5
251,125001,fcfs,1.0,15337.7,16583.1,1.0,15337.7,16583.1,15334.7,16582.1,18421.3
252,126001,rr,1.0,4.5,6.7,36688.8,736.7,927.0,124291.5,1206.5,1244.2
253,126001,fcfs,1.1,11019.3,12118.6,1.1,11019.3,12118.6,11015.1,12117.7,13415.1
254,127001,rr,0.9,13.1,15.4,25624.6,910.3,1018.1,97181.5,1311.2,1283.1
255,127001,fcfs,0.9,16322.5,17613.0,0.9,16322.5,17613.0,16319.6,17611.5,19314.8
256,128001,rr,1.1,5.8,7.8,45627.1,1003.6,1075.3,165162.9,1383.4,1394.0
257,128001,fcfs,1.0,20670.0,22046.3,1.0,20670.0,22046.3,20667.1,22044.9,23708.4
258,129001,rr,0.8,4.3,6.1,30879.1,752.0,766.6,118266.1,1011.4,1016.5
259,129001,fcfs,1.3,16456.5,17869.9,1.3,16456.5,17869.9,16449.9,17869.1,19478.8
260,130001,rr,0.8,4.1,6.3,35069.3,839.9,970.9,133279.2,1279.2,1257.6
261,130001,fcfs,0.9,14050.8,15187.0,0.9,14050.8,15187.0,14047.3,15185.6,16985.2
262,131001,rr,1.2,5.5,7.5,49181.1,1213.6,1087.4,172830.8,1566.6,1476.0
263,131001,fcfs,1.3,29157.3,30495.8,1.3,29157.3,30495.8,29150.6,30494.6,32101.4
264,132001,rr,0.9,4.5,6.7,26863.6,1518.5,1184.4,102714.1,2018.4,1544.6
265,132001,fcfs,0.8,22268.9,23704.4,0.8,22268.9,23704.4,22261.5,23703.4,25513.6
266,133001,rr,1.0,5.2,7.4,45475.0,724.0,830.0,171443.9,995.2,1159.7
267,133001,fcfs,0.7,11094.8,12075.0,0.7,11094.8,12075.0,11091.4,12074.2,13955.3
268,134001,rr,0.8,4.3,6.6,22195.1,792.3,786.4,83353.8,1086.6,1083.4
269,134001,fcfs,0.7,21799.9,23164.7,0.7,21799.9,23164.7,21789.4,23163.2,24668.8
